Declaration ID,Date,Office ID,Process Type,Import Type,Import Use,Payment Type,Mode of Transport,Declarant ID,Importer ID,Seller ID,Courier ID,HS10 Code,Country of Departure,Country of Origin,Tax Rate,Tax Type,Country of Origin Indicator,Net Mass,Item Price,Fraud,Critical Fraud
41256141,2021-04-01,40,B,11,21,11,40,LPA7LKZ,Y3OM027,FQKH1PD,,4202311090,IT,RO,8.0,A,G,1.0,1248.7,0,0
20889431,2021-04-01,20,B,11,21,11,10,NZYZ967,QBIH1EB,543HRUP,,7113110000,TH,TH,8.0,A,Y,4.7,1365.35,0,0
25403940,2021-04-01,40,B,11,21,11,10,69Z0KLV,KEABR8T,,,3906909000,CN,CN,2.4,FCN1,G,19000.0,1105800.0,0,0
43489778,2021-04-01,62,B,11,21,43,40,TF25D2Q,P0E1D1R,LFV52UK,,3926909000,CN,CN,6.5,C,G,275.0,165.0,0,0
94895240,2021-04-01,40,B,11,21,11,40,1U0VYZN,O4N1E97,JABE2FY,,8713900000,CN,CN,0.0,C,E,42.0,113937.6,0,0
81282547,2021-04-01,20,B,15,13,18,10,SPUZ923,NMR5X3Z,MQDQ4EZ,,1302192000,VN,VN,0.0,FVN1,E,305000.0,27511000.0,0,0
13935563,2021-04-01,40,B,11,21,11,10,7OB24ZT,OO3VD14,PBFM9VC,,8443991000,PH,PH,0.0,CIT,E,23.0,1529.5,1,1
57224212,2021-04-01,40,B,11,21,18,40,UTNPOCA,8M4H3MH,,,9021310000,DE,DE,0.0,C,G,78.8,1170203.64,0,0
21579017,2021-04-01,20,B,11,21,11,10,6APLI65,56WNQNF,DJNTC1K,,5603119000,CN,CN,3.2,FCN1,E,2394.0,462520.8,1,1
97545517,2021-04-01,40,B,11,21,11,10,NBZY1CQ,IWY9WMP,VPTCMWE,,6206402000,PL,PL,13.0,A,G,1.0,567.0,0,0
78445260,2021-04-01,20,B,11,21,43,10,E0AGTLM,9HPWO4Y,M3O4128,,8528729000,CN,CN,8.0,A,Y,26.0,54275.0,0,0
50158701,2021-04-01,40,B,11,21,43,10,3AWZO88,3OE9N6Y,3DTYKJW,,4203301090,CN,CN,5.2,FCN1,G,1014.0,347193.6,0,0
76619244,2021-04-01,40,B,11,21,11,10,GO1EBDS,MG77MTE,BZCJY1G,,1605290000,TH,TH,20.0,A,Y,1.0,2261.5,0,0
19399777,2021-04-01,20,B,11,21,11,40,II0MSCN,0CN3IKJ,Z4C7IPX,W6UCD9,4202221020,JP,JP,8.0,A,S,4.7,548.96,0,0
77398766,2021-04-01,20,B,11,21,11,40,UTNPOCA,CYBJI1O,,A5IT1U,8479909090,US,US,5.0,F,Y,208.5,47058.45,1,1
90633984,2021-04-01,20,B,11,21,43,40,RJ537HX,FY600GJ,RZV5X6E,,703101000,CN,CN,135.0,W2,S,24000.0,2272800.0,0,0
43352334,2021-04-01,40,B,11,21,11,10,R5P6P4N,V0AB1K7,8TJQI9L,,2106909099,CA,CA,8.0,A,E,301.3,38114.45,0,0
17444408,2021-04-01,40,B,11,21,11,40,43MSLZK,39366CJ,,,2930202010,IT,IT,0.0,P3,E,7200.0,59582159.99999999,0,0
60210534,2021-04-01,40,B,11,21,18,40,8PEK67V,C7B582A,FY7LARY,W6UCD9,1005901000,BR,BR,0.0,P1,S,11079936.0,1130153472.0,0,0
22375009,2021-04-01,16,B,11,21,11,40,6LV96I6,V05JQFH,O6X9QCW,,6204699000,PL,PL,13.0,A,S,11.0,5271.2,0,0
20364120,2021-04-01,33,B,11,21,11,10,ZGNH4UK,0XYBJEY,XOGGBMY,,7211909000,CN,CN,0.0,C,Y,26807.0,61656.1,0,0
10000192,2021-04-01,20,B,11,21,43,10,C6MLPCX,ATBYAFP,RZO5P7V,,6208921000,CN,CN,5.2,FCN1,Y,1147.0,94742.2,0,0
83726881,2021-04-01,40,B,94,21,18,10,626DNVO,AE6Y3LM,LIE163P,77BN4M,8523491039,CN,JP,0.0,C,Y,0.5,90.1,0,0
66231407,2021-04-01,39,B,11,21,11,10,4NJOZ3J,KS8SN6O,4840UHS,,6907210000,HK,CN,6.2,E1,B,80122.0,536817.4,1,1
64356058,2021-04-01,40,B,11,21,11,10,OZB7KED,708A72F,5H7BCPE,,8906900000,DE,DE,0.0,A,Y,110.0,22638.0,0,0
96907718,2021-04-01,30,B,11,21,18,40,FNWQTV5,MJZO983,HIP6I3V,W6UCD9,2915393000,CN,CN,0.0,FCN1,E,22000.0,6754000.0,0,0
61035354,2021-04-01,16,B,11,21,11,10,30KWO4D,HFVWJ5F,UTEX0S5,,3926909000,CN,CN,3.9,FCN1,E,120.0,72.0,0,0
97916469,2021-04-01,40,B,11,21,11,10,AB2TXFG,NKD4MGK,C0UEXU2,,8483409090,JP,JP,8.0,A,E,106.3,36003.81,1,1
77871880,2021-04-01,40,B,11,21,11,40,FAG093P,B9ZQSAM,DZUQMC9,,3824999090,JP,JP,6.5,C,E,15840.0,198000.0,1,1
42672701,2021-04-01,20,B,11,21,11,10,EDQK0LQ,YP2SJG1,M9T2XIX,,2928009099,KR,US,6.5,C,E,0.1,73.72000000000001,0,0
47409182,2021-04-01,40,B,11,21,11,10,6T0AJ3G,5763SW3,CP9LYOC,A5IT1U,8536909010,HK,CN,0.0,CIT,G,6.5,1210.3,0,0
60150670,2021-04-01,20,B,11,21,11,40,1XCM1XF,RJZFZS7,0EN5VCW,,4420909090,CN,CN,4.8,FCN1,E,10.0,17.0,0,0
69981816,2021-04-01,40,B,11,21,11,40,DB7JDWC,ZUQVWI1,GZBTBK4,,7602000000,JP,JP,0.0,A,G,36172.0,354485.6000000001,0,0
28769564,2021-04-01,20,B,11,21,11,10,6T0AJ3G,PAK8E37,RZM2Z77,,8703249020,US,CA,8.0,C,Y,1766.0,15540.8,1,1
79963887,2021-04-01,40,B,15,21,11,10,F6EHU8H,URF2YG7,E44MM7Y,,4420109000,CN,CN,4.8,FCN1,E,18.0,406.8,1,1
92621113,2021-04-01,16,B,11,21,14,40,SYGSI62,41K4C26,2CJWYF9,,9603900000,JP,CN,8.0,A,Y,32.6,511.82,0,0
